Prefill Len,Prefill Batch,Prefill Tokens,Decode batch size,Decode len,CU mask,Prefill time in isolation,Prefill time with interference,Serial Prefill time,Slowdown in prefill (H-G),Decode time in isolation,Decode Time with interference,Serial Decode Time,Slowdown in decode(L-K),Total Serial Time,Total Time with Interference,Overlap,,,Slowdown in decode ()
2048,4,8192,32,256,288,,,,,,,,,,,,,,
2048,8,16384,32,256,288,,,,,,,,,,,,,,
4096,1,4096,32,256,288,,,,,,,,,,,,,,
4096,4,16384,32,256,288,,,,,,,,,,,,,,
256,1,256,64,256,288,,,,,,,,,,,,,,
256,4,1024,64,256,288,,,,,,,,,,,,,,
256,8,2048,64,256,288,,,,,,,,,,,,,,
256,16,4096,64,256,288,,,,,,,,,,,,,,
256,32,8192,64,256,288,,,,,,,,,,,,,,
512,1,512,64,256,288,,,,,,,,,,,,,,
512,4,2048,64,256,288,,,,,,,,,,,,,,
512,8,4096,64,256,288,,,,,,,,,,,,,,
512,16,8192,64,256,288,,,,,,,,,,,,,,
1024,1,1024,64,256,288,,,,,,,,,,,,,,
1024,4,4096,64,256,288,,,,,,,,,,,,,,
1024,8,8192,64,256,288,,,,,,,,,,,,,,
2048,1,2048,64,256,288,,,,,,,,,,,,,,
2048,4,8192,64,256,288,,,,,,,,,,,,,,
2048,8,16384,64,256,288,,,,,,,,,,,,,,
4096,1,4096,64,256,288,,,,,,,,,,,,,,
4096,4,16384,64,256,288,,,,,,,,,,,,,,
256,1,256,128,256,288,,,,,,,,,,,,,,
256,8,2048,128,256,288,,,,,,,,,,,,,,
256,16,4096,128,256,288,,,,,,,,,,,,,,
256,32,8192,128,256,288,,,,,,,,,,,,,,
512,1,512,128,256,288,,,,,,,,,,,,,,
512,4,2048,128,256,288,,,,,,,,,,,,,,
512,8,4096,128,256,288,,,,,,,,,,,,,,
512,16,8192,128,256,288,,,,,,,,,,,,,,
1024,1,1024,128,256,288,,,,,,,,,,,,,,
1024,4,4096,128,256,288,,,,,,,,,,,,,,
1024,8,8192,128,256,288,,,,,,,,,,,,,,
2048,1,2048,128,256,288,,,,,,,,,,,,,,
2048,4,8192,128,256,288,,,,,,,,,,,,,,
2048,8,16384,128,256,288,,,,,,,,,,,,,,
4096,1,4096,128,256,288,,,,,,,,,,,,,,
4096,4,16384,128,256,288,,,,,,,,,,,,,,
256,1,256,256,256,288,,,,,,,,,,,,,,
256,4,1024,256,256,288,,,,,,,,,,,,,,
256,8,2048,256,256,288,,,,,,,,,,,,,,
256,16,4096,256,256,288,,,,,,,,,,,,,,
256,32,8192,256,256,288,,,,,,,,,,,,,,
512,1,512,256,256,288,,,,,,,,,,,,,,
512,4,2048,256,256,288,,,,,,,,,,,,,,
512,8,4096,256,256,288,,,,,,,,,,,,,,
512,16,8192,256,256,288,,,,,,,,,,,,,,
1024,1,1024,256,256,288,,,,,,,,,,,,,,
1024,4,4096,256,256,288,,,,,,,,,,,,,,
1024,8,8192,256,256,288,,,,,,,,,,,,,,
2048,1,2048,256,256,288,,,,,,,,,,,,,,
2048,4,8192,256,256,288,,,,,,,,,,,,,,
2048,8,16384,256,256,288,,,,,,,,,,,,,,
4096,1,4096,256,256,288,,,,,,,,,,,,,,
4096,4,16384,256,256,288,,,,,,,,,,,,,,
256,1,256,512,256,288,,,,,,,,,,,,,,
256,4,1024,512,256,288,,,,,,,,,,,,,,
256,8,2048,512,256,288,,,,,,,,,,,,,,
256,16,4096,512,256,288,,,,,,,,,,,,,,
256,32,8192,512,256,288,,,,,,,,,,,,,,
512,1,512,512,256,288,,,,,,,,,,,,,,
512,4,2048,512,256,288,,,,,,,,,,,,,,
512,8,4096,512,256,288,,,,,,,,,,,,,,
512,16,8192,512,256,288,,,,,,,,,,,,,,
1024,1,1024,512,256,288,,,,,,,,,,,,,,
1024,4,4096,512,256,288,,,,,,,,,,,,,,
1024,8,8192,512,256,288,,,,,,,,,,,,,,
2048,1,2048,512,256,288,,,,,,,,,,,,,,
2048,4,8192,512,256,288,,,,,,,,,,,,,,
2048,8,16384,512,256,288,,,,,,,,,,,,,,
4096,1,4096,512,256,288,,,,,,,,,,,,,,
4096,4,16384,512,256,288,,,,,,,,,,,,,,
256,1,256,32,512,288,,,,,,,,,,,,,,
256,4,1024,32,512,288,,,,,,,,,,,,,,
256,8,2048,32,512,288,,,,,,,,,,,,,,
256,16,4096,32,512,288,,,,,,,,,,,,,,
256,32,8192,32,512,288,,,,,,,,,,,,,,
512,1,512,32,512,288,,,,,,,,,,,,,,
512,4,2048,32,512,288,,,,,,,,,,,,,,
512,8,4096,32,512,288,,,,,,,,,,,,,,
512,16,8192,32,512,288,,,,,,,,,,,,,,
1024,1,1024,32,512,288,,,,,,,,,,,,,,
1024,4,4096,32,512,288,,,,,,,,,,,,,,
1024,8,8192,32,512,288,,,,,,,,,,,,,,
2048,1,2048,32,512,288,,,,,,,,,,,,,,
2048,4,8192,32,512,288,,,,,,,,,,,,,,
2048,8,16384,32,512,288,,,,,,,,,,,,,,
4096,1,4096,32,512,288,,,,,,,,,,,,,,
4096,4,16384,32,512,288,,,,,,,,,,,,,,
256,1,256,64,512,288,,,,,,,,,,,,,,
256,4,1024,64,512,288,,,,,,,,,,,,,,
256,8,2048,64,512,288,,,,,,,,,,,,,,
256,16,4096,64,512,288,,,,,,,,,,,,,,
256,32,8192,64,512,288,,,,,,,,,,,,,,
512,1,512,64,512,288,,,,,,,,,,,,,,
512,4,2048,64,512,288,,,,,,,,,,,,,,
512,8,4096,64,512,288,,,,,,,,,,,,,,
512,16,8192,64,512,288,,,,,,,,,,,,,,
1024,1,1024,64,512,288,,,,,,,,,,,,,,
1024,4,4096,64,512,288,,,,,,,,,,,,,,
1024,8,8192,64,512,288,,,,,,,,,,,,,,
2048,1,2048,64,512,288,,,,,,,,,,,,,,
2048,4,8192,64,512,288,,,,,,,,,,,,,,
2048,8,16384,64,512,288,,,,,,,,,,,,,,
4096,1,4096,64,512,288,,,,,,,,,,,,,,
4096,4,16384,64,512,288,,,,,,,,,,,,,,
256,1,256,128,512,288,,,,,,,,,,,,,,
256,4,1024,128,512,288,,,,,,,,,,,,,,
256,8,2048,128,512,288,,,,,,,,,,,,,,
256,16,4096,128,512,288,,,,,,,,,,,,,,
256,32,8192,128,512,288,,,,,,,,,,,,,,
512,1,512,128,512,288,,,,,,,,,,,,,,
512,4,2048,128,512,288,,,,,,,,,,,,,,
512,8,4096,128,512,288,,,,,,,,,,,,,,
512,16,8192,128,512,288,,,,,,,,,,,,,,
1024,1,1024,128,512,288,,,,,,,,,,,,,,
1024,4,4096,128,512,288,,,,,,,,,,,,,,
1024,8,8192,128,512,288,,,,,,,,,,,,,,
2048,1,2048,128,512,288,,,,,,,,,,,,,,
2048,4,8192,128,512,288,,,,,,,,,,,,,,
2048,8,16384,128,512,288,,,,,,,,,,,,,,
4096,1,4096,128,512,288,,,,,,,,,,,,,,
4096,4,16384,128,512,288,,,,,,,,,,,,,,
256,1,256,256,512,288,,,,,,,,,,,,,,
256,4,1024,256,512,288,,,,,,,,,,,,,,
256,8,2048,256,512,288,,,,,,,,,,,,,,
256,16,4096,256,512,288,,,,,,,,,,,,,,
256,32,8192,256,512,288,,,,,,,,,,,,,,
512,1,512,256,512,288,,,,,,,,,,,,,,
512,4,2048,256,512,288,,,,,,,,,,,,,,
512,8,4096,256,512,288,,,,,,,,,,,,,,
512,16,8192,256,512,288,,,,,,,,,,,,,,
1024,1,1024,256,512,288,,,,,,,,,,,,,,
1024,4,4096,256,512,288,,,,,,,,,,,,,,
1024,8,8192,256,512,288,,,,,,,,,,,,,,
2048,1,2048,256,512,288,,,,,,,,,,,,,,
2048,4,8192,256,512,288,,,,,,,,,,,,,,
2048,8,16384,256,512,288,,,,,,,,,,,,,,
4096,1,4096,256,512,288,,,,,,,,,,,,,,
4096,4,16384,256,512,288,,,,,,,,,,,,,,
256,1,256,512,512,288,,,,,,,,,,,,,,
256,4,1024,512,512,288,,,,,,,,,,,,,,
256,8,2048,512,512,288,,,,,,,,,,,,,,
256,16,4096,512,512,288,,,,,,,,,,,,,,
256,32,8192,512,512,288,,,,,,,,,,,,,,
512,1,512,512,512,288,,,,,,,,,,,,,,
512,4,2048,512,512,288,,,,,,,,,,,,,,
512,8,4096,512,512,288,,,,,,,,,,,,,,
512,16,8192,512,512,288,,,,,,,,,,,,,,
1024,1,1024,512,512,288,,,,,,,,,,,,,,
1024,4,4096,512,512,288,,,,,,,,,,,,,,
1024,8,8192,512,512,288,,,,,,,,,,,,,,
2048,1,2048,512,512,288,,,,,,,,,,,,,,
2048,4,8192,512,512,288,,,,,,,,,,,,,,
2048,8,16384,512,512,288,,,,,,,,,,,,,,
4096,1,4096,512,512,288,,,,,,,,,,,,,,
4096,4,16384,512,512,288,,,,,,,,,,,,,,
256,1,256,32,1024,288,,,,,,,,,,,,,,
256,4,1024,32,1024,288,,,,,,,,,,,,,,
256,8,2048,32,1024,288,,,,,,,,,,,,,,
256,16,4096,32,1024,288,,,,,,,,,,,,,,
256,32,8192,32,1024,288,,,,,,,,,,,,,,
512,1,512,32,1024,288,,,,,,,,,,,,,,
512,4,2048,32,1024,288,,,,,,,,,,,,,,
512,8,4096,32,1024,288,,,,,,,,,,,,,,
512,16,8192,32,1024,288,,,,,,,,,,,,,,
1024,1,1024,32,1024,288,,,,,,,,,,,,,,
1024,4,4096,32,1024,288,,,,,,,,,,,,,,
1024,8,8192,32,1024,288,,,,,,,,,,,,,,
2048,1,2048,32,1024,288,,,,,,,,,,,,,,
2048,4,8192,32,1024,288,,,,,,,,,,,,,,
2048,8,16384,32,1024,288,,,,,,,,,,,,,,
4096,1,4096,32,1024,288,,,,,,,,,,,,,,
4096,4,16384,32,1024,288,,,,,,,,,,,,,,
256,1,256,64,1024,288,,,,,,,,,,,,,,
256,4,1024,64,1024,288,,,,,,,,,,,,,,
256,8,2048,64,1024,288,,,,,,,,,,,,,,
256,16,4096,64,1024,288,,,,,,,,,,,,,,
256,32,8192,64,1024,288,,,,,,,,,,,,,,
512,1,512,64,1024,288,,,,,,,,,,,,,,
512,4,2048,64,1024,288,,,,,,,,,,,,,,
512,8,4096,64,1024,288,,,,,,,,,,,,,,
512,16,8192,64,1024,288,,,,,,,,,,,,,,
1024,1,1024,64,1024,288,,,,,,,,,,,,,,
1024,4,4096,64,1024,288,,,,,,,,,,,,,,
1024,8,8192,64,1024,288,,,,,,,,,,,,,,
2048,1,2048,64,1024,288,,,,,,,,,,,,,,
2048,4,8192,64,1024,288,,,,,,,,,,,,,,
2048,8,16384,64,1024,288,,,,,,,,,,,,,,
4096,1,4096,64,1024,288,,,,,,,,,,,,,,
4096,4,16384,64,1024,288,,,,,,,,,,,,,,
256,1,256,128,1024,288,,,,,,,,,,,,,,
256,4,1024,128,1024,288,,,,,,,,,,,,,,
256,8,2048,128,1024,288,,,,,,,,,,,,,,
256,16,4096,128,1024,288,,,,,,,,,,,,,,
256,32,8192,128,1024,288,,,,,,,,,,,,,,
512,1,512,128,1024,288,,,,,,,,,,,,,,
512,4,2048,128,1024,288,,,,,,,,,,,,,,
512,8,4096,128,1024,288,,,,,,,,,,,,,,
512,16,8192,128,1024,288,,,,,,,,,,,,,,
1024,1,1024,128,1024,288,,,,,,,,,,,,,,
1024,4,4096,128,1024,288,,,,,,,,,,,,,,
1024,8,8192,128,1024,288,,,,,,,,,,,,,,
2048,1,2048,128,1024,288,,,,,,,,,,,,,,
2048,4,8192,128,1024,288,,,,,,,,,,,,,,
2048,8,16384,128,1024,288,,,,,,,,,,,,,,
4096,1,4096,128,1024,288,,,,,,,,,,,,,,
4096,4,16384,128,1024,288,,,,,,,,,,,,,,
256,1,256,256,1024,288,,,,,,,,,,,,,,
256,4,1024,256,1024,288,,,,,,,,,,,,,,
256,8,2048,256,1024,288,,,,,,,,,,,,,,
256,16,4096,256,1024,288,,,,,,,,,,,,,,
256,32,8192,256,1024,288,,,,,,,,,,,,,,
512,1,512,256,1024,288,,,,,,,,,,,,,,
512,4,2048,256,1024,288,,,,,,,,,,,,,,
512,8,4096,256,1024,288,,,,,,,,,,,,,,
512,16,8192,256,1024,288,,,,,,,,,,,,,,
1024,1,1024,256,1024,288,,,,,,,,,,,,,,
1024,4,4096,256,1024,288,,,,,,,,,,,,,,
1024,8,8192,256,1024,288,,,,,,,,,,,,,,
2048,1,2048,256,1024,288,,,,,,,,,,,,,,
2048,4,8192,256,1024,288,,,,,,,,,,,,,,
2048,8,16384,256,1024,288,,,,,,,,,,,,,,
4096,1,4096,256,1024,288,,,,,,,,,,,,,,
4096,4,16384,256,1024,288,,,,,,,,,,,,,,
256,1,256,512,1024,288,,,,,,,,,,,,,,
256,4,1024,512,1024,288,,,,,,,,,,,,,,
256,8,2048,512,1024,288,,,,,,,,,,,,,,
256,16,4096,512,1024,288,,,,,,,,,,,,,,
256,32,8192,512,1024,288,,,,,,,,,,,,,,
512,1,512,512,1024,288,,,,,,,,,,,,,,
512,4,2048,512,1024,288,,,,,,,,,,,,,,
512,8,4096,512,1024,288,,,,,,,,,,,,,,
512,16,8192,512,1024,288,,,,,,,,,,,,,,
1024,1,1024,512,1024,288,,,,,,,,,,,,,,
1024,4,4096,512,1024,288,,,,,,,,,,,,,,
1024,8,8192,512,1024,288,,,,,,,,,,,,,,
2048,1,2048,512,1024,288,,,,,,,,,,,,,,
2048,4,8192,512,1024,288,,,,,,,,,,,,,,
2048,8,16384,512,1024,288,,,,,,,,,,,,,,
4096,1,4096,512,1024,288,,,,,,,,,,,,,,
4096,4,16384,512,1024,288,,,,,,,,,,,,,,
256,1,256,32,2048,288,,,,,,,,,,,,,,
256,4,1024,32,2048,288,,,,,,,,,,,,,,
256,8,2048,32,2048,288,,,,,,,,,,,,,,
256,16,4096,32,2048,288,,,,,,,,,,,,,,
256,32,8192,32,2048,288,,,,,,,,,,,,,,
512,1,512,32,2048,288,,,,,,,,,,,,,,
512,4,2048,32,2048,288,,,,,,,,,,,,,,
512,8,4096,32,2048,288,,,,,,,,,,,,,,
512,16,8192,32,2048,288,,,,,,,,,,,,,,
1024,1,1024,32,2048,288,,,,,,,,,,,,,,
1024,4,4096,32,2048,288,,,,,,,,,,,,,,
1024,8,8192,32,2048,288,,,,,,,,,,,,,,
2048,1,2048,32,2048,288,,,,,,,,,,,,,,
2048,4,8192,32,2048,288,,,,,,,,,,,,,,
2048,8,16384,32,2048,288,,,,,,,,,,,,,,
4096,1,4096,32,2048,288,,,,,,,,,,,,,,
4096,4,16384,32,2048,288,,,,,,,,,,,,,,
256,1,256,64,2048,288,,,,,,,,,,,,,,
256,4,1024,64,2048,288,,,,,,,,,,,,,,
256,8,2048,64,2048,288,,,,,,,,,,,,,,
256,16,4096,64,2048,288,,,,,,,,,,,,,,
256,32,8192,64,2048,288,,,,,,,,,,,,,,
512,1,512,64,2048,288,,,,,,,,,,,,,,
512,4,2048,64,2048,288,,,,,,,,,,,,,,
512,8,4096,64,2048,288,,,,,,,,,,,,,,
512,16,8192,64,2048,288,,,,,,,,,,,,,,
1024,1,1024,64,2048,288,,,,,,,,,,,,,,
1024,4,4096,64,2048,288,,,,,,,,,,,,,,
1024,8,8192,64,2048,288,,,,,,,,,,,,,,
2048,1,2048,64,2048,288,,,,,,,,,,,,,,
2048,4,8192,64,2048,288,,,,,,,,,,,,,,
2048,8,16384,64,2048,288,,,,,,,,,,,,,,
4096,1,4096,64,2048,288,,,,,,,,,,,,,,
4096,4,16384,64,2048,288,,,,,,,,,,,,,,
256,1,256,128,2048,288,,,,,,,,,,,,,,
256,4,1024,128,2048,288,,,,,,,,,,,,,,
256,8,2048,128,2048,288,,,,,,,,,,,,,,
256,16,4096,128,2048,288,,,,,,,,,,,,,,
256,32,8192,128,2048,288,,,,,,,,,,,,,,
512,1,512,128,2048,288,,,,,,,,,,,,,,
512,4,2048,128,2048,288,,,,,,,,,,,,,,
512,8,4096,128,2048,288,,,,,,,,,,,,,,
512,16,8192,128,2048,288,,,,,,,,,,,,,,
1024,1,1024,128,2048,288,,,,,,,,,,,,,,
1024,4,4096,128,2048,288,,,,,,,,,,,,,,
1024,8,8192,128,2048,288,,,,,,,,,,,,,,
2048,1,2048,128,2048,288,,,,,,,,,,,,,,
2048,4,8192,128,2048,288,,,,,,,,,,,,,,
2048,8,16384,128,2048,288,,,,,,,,,,,,,,
4096,1,4096,128,2048,288,,,,,,,,,,,,,,
4096,4,16384,128,2048,288,,,,,,,,,,,,,,
256,1,256,256,2048,288,,,,,,,,,,,,,,
256,4,1024,256,2048,288,,,,,,,,,,,,,,
256,8,2048,256,2048,288,,,,,,,,,,,,,,
256,16,4096,256,2048,288,,,,,,,,,,,,,,
256,32,8192,256,2048,288,,,,,,,,,,,,,,
512,1,512,256,2048,288,,,,,,,,,,,,,,
512,4,2048,256,2048,288,,,,,,,,,,,,,,
512,8,4096,256,2048,288,,,,,,,,,,,,,,
512,16,8192,256,2048,288,,,,,,,,,,,,,,
1024,1,1024,256,2048,288,,,,,,,,,,,,,,
1024,4,4096,256,2048,288,,,,,,,,,,,,,,
1024,8,8192,256,2048,288,,,,,,,,,,,,,,
2048,1,2048,256,2048,288,,,,,,,,,,,,,,
2048,4,8192,256,2048,288,,,,,,,,,,,,,,
2048,8,16384,256,2048,288,,,,,,,,,,,,,,
4096,1,4096,256,2048,288,,,,,,,,,,,,,,
4096,4,16384,256,2048,288,,,,,,,,,,,,,,
256,1,256,512,2048,288,,,,,,,,,,,,,,
256,4,1024,512,2048,288,,,,,,,,,,,,,,
256,8,2048,512,2048,288,,,,,,,,,,,,,,
256,16,4096,512,2048,288,,,,,,,,,,,,,,
256,32,8192,512,2048,288,,,,,,,,,,,,,,
512,1,512,512,2048,288,,,,,,,,,,,,,,
512,4,2048,512,2048,288,,,,,,,,,,,,,,
512,8,4096,512,2048,288,,,,,,,,,,,,,,
512,16,8192,512,2048,288,,,,,,,,,,,,,,
1024,1,1024,512,2048,288,,,,,,,,,,,,,,
1024,4,4096,512,2048,288,,,,,,,,,,,,,,
1024,8,8192,512,2048,288,,,,,,,,,,,,,,
2048,1,2048,512,2048,288,,,,,,,,,,,,,,
2048,4,8192,512,2048,288,,,,,,,,,,,,,,
2048,8,16384,512,2048,288,,,,,,,,,,,,,,
4096,1,4096,512,2048,288,,,,,,,,,,,,,,
4096,4,16384,512,2048,288,,,,,,,,,,,,,,
256,1,256,32,4096,288,,,,,,,,,,,,,,
256,4,1024,32,4096,288,,,,,,,,,,,,,,
256,8,2048,32,4096,288,,,,,,,,,,,,,,
256,16,4096,32,4096,288,,,,,,,,,,,,,,
256,32,8192,32,4096,288,,,,,,,,,,,,,,
512,1,512,32,4096,288,,,,,,,,,,,,,,
512,4,2048,32,4096,288,,,,,,,,,,,,,,
512,8,4096,32,4096,288,,,,,,,,,,,,,,
512,16,8192,32,4096,288,,,,,,,,,,,,,,
1024,1,1024,32,4096,288,,,,,,,,,,,,,,
1024,4,4096,32,4096,288,,,,,,,,,,,,,,
1024,8,8192,32,4096,288,,,,,,,,,,,,,,
2048,1,2048,32,4096,288,,,,,,,,,,,,,,
2048,4,8192,32,4096,288,,,,,,,,,,,,,,
2048,8,16384,32,4096,288,,,,,,,,,,,,,,
4096,1,4096,32,4096,288,,,,,,,,,,,,,,
4096,4,16384,32,4096,288,,,,,,,,,,,,,,
256,1,256,64,4096,288,,,,,,,,,,,,,,
256,4,1024,64,4096,288,,,,,,,,,,,,,,
256,8,2048,64,4096,288,,,,,,,,,,,,,,
256,16,4096,64,4096,288,,,,,,,,,,,,,,
256,32,8192,64,4096,288,,,,,,,,,,,,,,
512,1,512,64,4096,288,,,,,,,,,,,,,,
512,4,2048,64,4096,288,,,,,,,,,,,,,,
512,8,4096,64,4096,288,,,,,,,,,,,,,,
512,16,8192,64,4096,288,,,,,,,,,,,,,,
1024,1,1024,64,4096,288,,,,,,,,,,,,,,
1024,4,4096,64,4096,288,,,,,,,,,,,,,,
1024,8,8192,64,4096,288,,,,,,,,,,,,,,
2048,1,2048,64,4096,288,,,,,,,,,,,,,,
2048,4,8192,64,4096,288,,,,,,,,,,,,,,
2048,8,16384,64,4096,288,,,,,,,,,,,,,,
4096,1,4096,64,4096,288,,,,,,,,,,,,,,
4096,4,16384,64,4096,288,,,,,,,,,,,,,,
256,1,256,128,4096,288,,,,,,,,,,,,,,
256,4,1024,128,4096,288,,,,,,,,,,,,,,
256,8,2048,128,4096,288,,,,,,,,,,,,,,
256,16,4096,128,4096,288,,,,,,,,,,,,,,
256,32,8192,128,4096,288,,,,,,,,,,,,,,
512,1,512,128,4096,288,,,,,,,,,,,,,,
512,4,2048,128,4096,288,,,,,,,,,,,,,,
512,8,4096,128,4096,288,,,,,,,,,,,,,,
512,16,8192,128,4096,288,,,,,,,,,,,,,,
1024,1,1024,128,4096,288,,,,,,,,,,,,,,
1024,4,4096,128,4096,288,,,,,,,,,,,,,,
1024,8,8192,128,4096,288,,,,,,,,,,,,,,
2048,1,2048,128,4096,288,,,,,,,,,,,,,,
2048,4,8192,128,4096,288,,,,,,,,,,,,,,
2048,8,16384,128,4096,288,,,,,,,,,,,,,,
4096,1,4096,128,4096,288,,,,,,,,,,,,,,
4096,4,16384,128,4096,288,,,,,,,,,,,,,,
256,1,256,256,4096,288,,,,,,,,,,,,,,
256,4,1024,256,4096,288,,,,,,,,,,,,,,
256,8,2048,256,4096,288,,,,,,,,,,,,,,
256,16,4096,256,4096,288,,,,,,,,,,,,,,
256,32,8192,256,4096,288,,,,,,,,,,,,,,
512,1,512,256,4096,288,,,,,,,,,,,,,,
512,4,2048,256,4096,288,,,,,,,,,,,,,,
512,8,4096,256,4096,288,,,,,,,,,,,,,,
512,16,8192,256,4096,288,,,,,,,,,,,,,,
1024,1,1024,256,4096,288,,,,,,,,,,,,,,
1024,4,4096,256,4096,288,,,,,,,,,,,,,,
1024,8,8192,256,4096,288,,,,,,,,,,,,,,
2048,1,2048,256,4096,288,,,,,,,,,,,,,,
2048,4,8192,256,4096,288,,,,,,,,,,,,,,
2048,8,16384,256,4096,288,,,,,,,,,,,,,,
4096,1,4096,256,4096,288,,,,,,,,,,,,,,
4096,4,16384,256,4096,288,,,,,,,,,,,,,,
256,1,256,512,4096,288,,,,,,,,,,,,,,
256,4,1024,512,4096,288,,,,,,,,,,,,,,
256,8,2048,512,4096,288,,,,,,,,,,,,,,
256,16,4096,512,4096,288,,,,,,,,,,,,,,
256,32,8192,512,4096,288,,,,,,,,,,,,,,
512,1,512,512,4096,288,,,,,,,,,,,,,,
512,4,2048,512,4096,288,,,,,,,,,,,,,,
512,8,4096,512,4096,288,,,,,,,,,,,,,,
512,16,8192,512,4096,288,,,,,,,,,,,,,,
1024,1,1024,512,4096,288,,,,,,,,,,,,,,
1024,4,4096,512,4096,288,,,,,,,,,,,,,,
1024,8,8192,512,4096,288,,,,,,,,,,,,,,
2048,1,2048,512,4096,288,,,,,,,,,,,,,,
2048,4,8192,512,4096,288,,,,,,,,,,,,,,
2048,8,16384,512,4096,288,,,,,,,,,,,,,,
4096,1,4096,512,4096,288,,,,,,,,,,,,,,
4096,4,16384,512,4096,288,,,,,,,,,,,,,,
