Prefill Len,Prefill Batch,Prefill Tokens,Decode batch size,Decode len,CU mask
1024,4,4096,16,256,NA
1024,8,8192,16,256,NA
2048,1,2048,16,256,NA
2048,4,8192,16,256,NA
2048,8,16384,16,256,NA
4096,1,4096,16,256,NA
4096,4,16384,16,256,NA
256,1,256,1,512,NA
256,4,1024,1,512,NA
256,8,2048,1,512,NA
256,16,4096,1,512,NA
256,32,8192,1,512,NA
512,1,512,1,512,NA
512,4,2048,1,512,NA
512,8,4096,1,512,NA
512,16,8192,1,512,NA
1024,1,1024,1,512,NA
1024,4,4096,1,512,NA
1024,8,8192,1,512,NA
2048,1,2048,1,512,NA
2048,4,8192,1,512,NA
2048,8,16384,1,512,NA
4096,1,4096,1,512,NA
4096,4,16384,1,512,NA
256,1,256,8,512,NA
256,4,1024,8,512,NA
256,8,2048,8,512,NA
256,16,4096,8,512,NA
256,32,8192,8,512,NA
512,1,512,8,512,NA
512,4,2048,8,512,NA
512,8,4096,8,512,NA
512,16,8192,8,512,NA
1024,1,1024,8,512,NA
1024,4,4096,8,512,NA
1024,8,8192,8,512,NA
2048,1,2048,8,512,NA
2048,4,8192,8,512,NA
2048,8,16384,8,512,NA
4096,1,4096,8,512,NA
4096,4,16384,8,512,NA
256,1,256,16,512,NA
256,4,1024,16,512,NA
256,8,2048,16,512,NA
256,16,4096,16,512,NA
256,32,8192,16,512,NA
512,1,512,16,512,NA
512,4,2048,16,512,NA
512,8,4096,16,512,NA
512,16,8192,16,512,NA
1024,1,1024,16,512,NA
1024,4,4096,16,512,NA
1024,8,8192,16,512,NA
2048,1,2048,16,512,NA
2048,4,8192,16,512,NA
2048,8,16384,16,512,NA
4096,1,4096,16,512,NA
4096,4,16384,16,512,NA
256,1,256,1,1024,NA
256,4,1024,1,1024,NA
256,8,2048,1,1024,NA
256,16,4096,1,1024,NA
256,32,8192,1,1024,NA
512,1,512,1,1024,NA
512,4,2048,1,1024,NA
512,8,4096,1,1024,NA
512,16,8192,1,1024,NA
1024,1,1024,1,1024,NA
1024,4,4096,1,1024,NA
1024,8,8192,1,1024,NA
2048,1,2048,1,1024,NA
2048,4,8192,1,1024,NA
2048,8,16384,1,1024,NA
4096,1,4096,1,1024,NA
4096,4,16384,1,1024,NA
256,1,256,8,1024,NA
256,4,1024,8,1024,NA
256,8,2048,8,1024,NA
256,16,4096,8,1024,NA
256,32,8192,8,1024,NA
512,1,512,8,1024,NA
512,4,2048,8,1024,NA
512,8,4096,8,1024,NA
512,16,8192,8,1024,NA
1024,1,1024,8,1024,NA
1024,4,4096,8,1024,NA
1024,8,8192,8,1024,NA
2048,1,2048,8,1024,NA
2048,4,8192,8,1024,NA
2048,8,16384,8,1024,NA
4096,1,4096,8,1024,NA
4096,4,16384,8,1024,NA
256,1,256,16,1024,NA
256,4,1024,16,1024,NA
256,8,2048,16,1024,NA
256,16,4096,16,1024,NA
256,32,8192,16,1024,NA
512,1,512,16,1024,NA
512,4,2048,16,1024,NA
512,8,4096,16,1024,NA
512,16,8192,16,1024,NA
1024,1,1024,16,1024,NA
1024,4,4096,16,1024,NA
1024,8,8192,16,1024,NA
2048,1,2048,16,1024,NA
2048,4,8192,16,1024,NA
2048,8,16384,16,1024,NA
4096,1,4096,16,1024,NA
4096,4,16384,16,1024,NA
256,1,256,1,2048,NA
256,4,1024,1,2048,NA
256,8,2048,1,2048,NA
256,16,4096,1,2048,NA
256,32,8192,1,2048,NA
512,1,512,1,2048,NA
512,4,2048,1,2048,NA
512,8,4096,1,2048,NA
512,16,8192,1,2048,NA
1024,1,1024,1,2048,NA
1024,4,4096,1,2048,NA
1024,8,8192,1,2048,NA
2048,1,2048,1,2048,NA
2048,4,8192,1,2048,NA
2048,8,16384,1,2048,NA
4096,1,4096,1,2048,NA
4096,4,16384,1,2048,NA
256,1,256,8,2048,NA
256,4,1024,8,2048,NA
256,8,2048,8,2048,NA
256,16,4096,8,2048,NA
256,32,8192,8,2048,NA
512,1,512,8,2048,NA
512,4,2048,8,2048,NA
512,8,4096,8,2048,NA
512,16,8192,8,2048,NA
1024,1,1024,8,2048,NA
1024,4,4096,8,2048,NA
1024,8,8192,8,2048,NA
2048,1,2048,8,2048,NA
2048,4,8192,8,2048,NA
2048,8,16384,8,2048,NA
4096,1,4096,8,2048,NA
4096,4,16384,8,2048,NA
256,1,256,16,2048,NA
256,4,1024,16,2048,NA
256,8,2048,16,2048,NA
256,16,4096,16,2048,NA
256,32,8192,16,2048,NA
512,1,512,16,2048,NA
512,4,2048,16,2048,NA
512,8,4096,16,2048,NA
512,16,8192,16,2048,NA
1024,1,1024,16,2048,NA
1024,4,4096,16,2048,NA
1024,8,8192,16,2048,NA
2048,1,2048,16,2048,NA
2048,4,8192,16,2048,NA
2048,8,16384,16,2048,NA
4096,1,4096,16,2048,NA
4096,4,16384,16,2048,NA
256,1,256,1,4096,NA
256,4,1024,1,4096,NA
256,8,2048,1,4096,NA
256,16,4096,1,4096,NA
256,32,8192,1,4096,NA
512,1,512,1,4096,NA
512,4,2048,1,4096,NA
512,8,4096,1,4096,NA
512,16,8192,1,4096,NA
1024,1,1024,1,4096,NA
1024,4,4096,1,4096,NA
1024,8,8192,1,4096,NA
2048,1,2048,1,4096,NA
2048,4,8192,1,4096,NA
2048,8,16384,1,4096,NA
4096,1,4096,1,4096,NA
4096,4,16384,1,4096,NA
256,1,256,8,4096,NA
256,4,1024,8,4096,NA
256,8,2048,8,4096,NA
256,16,4096,8,4096,NA
256,32,8192,8,4096,NA
512,1,512,8,4096,NA
512,4,2048,8,4096,NA
512,8,4096,8,4096,NA
512,16,8192,8,4096,NA
1024,1,1024,8,4096,NA
1024,4,4096,8,4096,NA
1024,8,8192,8,4096,NA
2048,1,2048,8,4096,NA
2048,4,8192,8,4096,NA
2048,8,16384,8,4096,NA
4096,1,4096,8,4096,NA
4096,4,16384,8,4096,NA
256,1,256,16,4096,NA
256,4,1024,16,4096,NA
256,8,2048,16,4096,NA
256,16,4096,16,4096,NA
256,32,8192,16,4096,NA
512,1,512,16,4096,NA
512,4,2048,16,4096,NA
512,8,4096,16,4096,NA
512,16,8192,16,4096,NA
1024,1,1024,16,4096,NA
1024,4,4096,16,4096,NA
1024,8,8192,16,4096,NA
2048,1,2048,16,4096,NA
2048,4,8192,16,4096,NA
2048,8,16384,16,4096,NA
4096,1,4096,16,4096,NA
4096,4,16384,16,4096,NA
256,1,256,1,256,32
256,4,1024,1,256,32
256,8,2048,1,256,32
256,16,4096,1,256,32
256,32,8192,1,256,32
512,1,512,1,256,32
512,4,2048,1,256,32
512,8,4096,1,256,32
512,16,8192,1,256,32
1024,1,1024,1,256,32
1024,4,4096,1,256,32
1024,8,8192,1,256,32
2048,1,2048,1,256,32
2048,4,8192,1,256,32
2048,8,16384,1,256,32
4096,1,4096,1,256,32
4096,4,16384,1,256,32
256,1,256,8,256,32
256,4,1024,8,256,32
256,8,2048,8,256,32
256,16,4096,8,256,32
256,32,8192,8,256,32
512,1,512,8,256,32
512,4,2048,8,256,32
512,8,4096,8,256,32
512,16,8192,8,256,32
1024,1,1024,8,256,32
1024,4,4096,8,256,32
1024,8,8192,8,256,32
2048,1,2048,8,256,32
2048,4,8192,8,256,32
2048,8,16384,8,256,32
4096,1,4096,8,256,32
4096,4,16384,8,256,32
256,1,256,16,256,32
256,4,1024,16,256,32
256,8,2048,16,256,32
256,16,4096,16,256,32
256,32,8192,16,256,32
512,1,512,16,256,32
512,4,2048,16,256,32
512,8,4096,16,256,32
512,16,8192,16,256,32
1024,1,1024,16,256,32
1024,4,4096,16,256,32
1024,8,8192,16,256,32
2048,1,2048,16,256,32
2048,4,8192,16,256,32
2048,8,16384,16,256,32
4096,1,4096,16,256,32
4096,4,16384,16,256,32
256,1,256,1,512,32
256,4,1024,1,512,32
256,8,2048,1,512,32
256,16,4096,1,512,32
256,32,8192,1,512,32
512,1,512,1,512,32
512,4,2048,1,512,32
512,8,4096,1,512,32
512,16,8192,1,512,32
1024,1,1024,1,512,32
1024,4,4096,1,512,32
1024,8,8192,1,512,32
2048,1,2048,1,512,32
2048,4,8192,1,512,32
2048,8,16384,1,512,32
4096,1,4096,1,512,32
4096,4,16384,1,512,32
256,1,256,8,512,32
256,4,1024,8,512,32
256,8,2048,8,512,32
256,16,4096,8,512,32
256,32,8192,8,512,32
512,1,512,8,512,32
512,4,2048,8,512,32
512,8,4096,8,512,32
512,16,8192,8,512,32
1024,1,1024,8,512,32
1024,4,4096,8,512,32
1024,8,8192,8,512,32
2048,1,2048,8,512,32
2048,4,8192,8,512,32
2048,8,16384,8,512,32
4096,1,4096,8,512,32
4096,4,16384,8,512,32
256,1,256,16,512,32
256,4,1024,16,512,32
256,8,2048,16,512,32
256,16,4096,16,512,32
256,32,8192,16,512,32
512,1,512,16,512,32
512,4,2048,16,512,32
512,8,4096,16,512,32
512,16,8192,16,512,32
1024,1,1024,16,512,32
1024,4,4096,16,512,32
1024,8,8192,16,512,32
2048,1,2048,16,512,32
2048,4,8192,16,512,32
2048,8,16384,16,512,32
4096,1,4096,16,512,32
4096,4,16384,16,512,32
256,1,256,1,1024,32
256,4,1024,1,1024,32
256,8,2048,1,1024,32
256,16,4096,1,1024,32
256,32,8192,1,1024,32
512,1,512,1,1024,32
512,4,2048,1,1024,32
512,8,4096,1,1024,32
512,16,8192,1,1024,32
1024,1,1024,1,1024,32
1024,4,4096,1,1024,32
1024,8,8192,1,1024,32
2048,1,2048,1,1024,32
2048,4,8192,1,1024,32
2048,8,16384,1,1024,32
4096,1,4096,1,1024,32
4096,4,16384,1,1024,32
256,1,256,8,1024,32
256,4,1024,8,1024,32
256,8,2048,8,1024,32
256,16,4096,8,1024,32
256,32,8192,8,1024,32
512,1,512,8,1024,32
512,4,2048,8,1024,32
512,8,4096,8,1024,32
512,16,8192,8,1024,32
1024,1,1024,8,1024,32
1024,4,4096,8,1024,32
1024,8,8192,8,1024,32
2048,1,2048,8,1024,32
2048,4,8192,8,1024,32
2048,8,16384,8,1024,32
4096,1,4096,8,1024,32
4096,4,16384,8,1024,32
256,1,256,16,1024,32
256,4,1024,16,1024,32
256,8,2048,16,1024,32
256,16,4096,16,1024,32
256,32,8192,16,1024,32
512,1,512,16,1024,32
512,4,2048,16,1024,32
512,8,4096,16,1024,32
512,16,8192,16,1024,32
1024,1,1024,16,1024,32
1024,4,4096,16,1024,32
1024,8,8192,16,1024,32
2048,1,2048,16,1024,32
2048,4,8192,16,1024,32
2048,8,16384,16,1024,32
4096,1,4096,16,1024,32
4096,4,16384,16,1024,32
256,1,256,1,2048,32
256,4,1024,1,2048,32
256,8,2048,1,2048,32
256,16,4096,1,2048,32
256,32,8192,1,2048,32
512,1,512,1,2048,32
512,4,2048,1,2048,32
512,8,4096,1,2048,32
512,16,8192,1,2048,32
1024,1,1024,1,2048,32
1024,4,4096,1,2048,32
1024,8,8192,1,2048,32
2048,1,2048,1,2048,32
2048,4,8192,1,2048,32
2048,8,16384,1,2048,32
4096,1,4096,1,2048,32
4096,4,16384,1,2048,32
256,1,256,8,2048,32
256,4,1024,8,2048,32
256,8,2048,8,2048,32
256,16,4096,8,2048,32
256,32,8192,8,2048,32
512,1,512,8,2048,32
512,4,2048,8,2048,32
512,8,4096,8,2048,32
512,16,8192,8,2048,32
1024,1,1024,8,2048,32
1024,4,4096,8,2048,32
1024,8,8192,8,2048,32
2048,1,2048,8,2048,32
2048,4,8192,8,2048,32
2048,8,16384,8,2048,32
4096,1,4096,8,2048,32
4096,4,16384,8,2048,32
256,1,256,16,2048,32
256,4,1024,16,2048,32
256,8,2048,16,2048,32
256,16,4096,16,2048,32
256,32,8192,16,2048,32
512,1,512,16,2048,32
512,4,2048,16,2048,32
512,8,4096,16,2048,32
512,16,8192,16,2048,32
1024,1,1024,16,2048,32
1024,4,4096,16,2048,32
1024,8,8192,16,2048,32
2048,1,2048,16,2048,32
2048,4,8192,16,2048,32
2048,8,16384,16,2048,32
4096,1,4096,16,2048,32
4096,4,16384,16,2048,32
256,1,256,1,4096,32
256,4,1024,1,4096,32
256,8,2048,1,4096,32
256,16,4096,1,4096,32
256,32,8192,1,4096,32
512,1,512,1,4096,32
512,4,2048,1,4096,32
512,8,4096,1,4096,32
512,16,8192,1,4096,32
1024,1,1024,1,4096,32
1024,4,4096,1,4096,32
1024,8,8192,1,4096,32
2048,1,2048,1,4096,32
2048,4,8192,1,4096,32
2048,8,16384,1,4096,32
4096,1,4096,1,4096,32
4096,4,16384,1,4096,32
256,1,256,8,4096,32
256,4,1024,8,4096,32
256,8,2048,8,4096,32
256,16,4096,8,4096,32
256,32,8192,8,4096,32
512,1,512,8,4096,32
512,4,2048,8,4096,32
512,8,4096,8,4096,32
512,16,8192,8,4096,32
1024,1,1024,8,4096,32
1024,4,4096,8,4096,32
1024,8,8192,8,4096,32
2048,1,2048,8,4096,32
2048,4,8192,8,4096,32
2048,8,16384,8,4096,32
4096,1,4096,8,4096,32
4096,4,16384,8,4096,32
256,1,256,16,4096,32
256,4,1024,16,4096,32
256,8,2048,16,4096,32
256,16,4096,16,4096,32
256,32,8192,16,4096,32
512,1,512,16,4096,32
512,4,2048,16,4096,32
512,8,4096,16,4096,32
512,16,8192,16,4096,32
1024,1,1024,16,4096,32
1024,4,4096,16,4096,32
1024,8,8192,16,4096,32
2048,1,2048,16,4096,32
2048,4,8192,16,4096,32
2048,8,16384,16,4096,32
4096,1,4096,16,4096,32
4096,4,16384,16,4096,32
256,1,256,1,256,64
256,4,1024,1,256,64
256,8,2048,1,256,64
256,16,4096,1,256,64
256,32,8192,1,256,64
512,1,512,1,256,64
512,4,2048,1,256,64
512,8,4096,1,256,64
512,16,8192,1,256,64
1024,1,1024,1,256,64
1024,4,4096,1,256,64
1024,8,8192,1,256,64
2048,1,2048,1,256,64
2048,4,8192,1,256,64
2048,8,16384,1,256,64
4096,1,4096,1,256,64
4096,4,16384,1,256,64
256,1,256,8,256,64
256,4,1024,8,256,64
256,8,2048,8,256,64
256,16,4096,8,256,64
256,32,8192,8,256,64
512,1,512,8,256,64
512,4,2048,8,256,64
512,8,4096,8,256,64
512,16,8192,8,256,64
1024,1,1024,8,256,64
1024,4,4096,8,256,64
1024,8,8192,8,256,64
2048,1,2048,8,256,64
2048,4,8192,8,256,64
2048,8,16384,8,256,64
4096,1,4096,8,256,64
4096,4,16384,8,256,64
256,1,256,16,256,64
256,4,1024,16,256,64
256,8,2048,16,256,64
256,16,4096,16,256,64
256,32,8192,16,256,64
512,1,512,16,256,64
512,4,2048,16,256,64
512,8,4096,16,256,64
512,16,8192,16,256,64
1024,1,1024,16,256,64
1024,4,4096,16,256,64
1024,8,8192,16,256,64
2048,1,2048,16,256,64
2048,4,8192,16,256,64
2048,8,16384,16,256,64
4096,1,4096,16,256,64
4096,4,16384,16,256,64
256,1,256,1,512,64
256,4,1024,1,512,64
256,8,2048,1,512,64
256,16,4096,1,512,64
256,32,8192,1,512,64
512,1,512,1,512,64
512,4,2048,1,512,64
512,8,4096,1,512,64
512,16,8192,1,512,64
1024,1,1024,1,512,64
1024,4,4096,1,512,64
1024,8,8192,1,512,64
2048,1,2048,1,512,64
2048,4,8192,1,512,64
2048,8,16384,1,512,64
4096,1,4096,1,512,64
4096,4,16384,1,512,64
256,1,256,8,512,64
256,4,1024,8,512,64
256,8,2048,8,512,64
256,16,4096,8,512,64
256,32,8192,8,512,64
512,1,512,8,512,64
512,4,2048,8,512,64
512,8,4096,8,512,64
512,16,8192,8,512,64
1024,1,1024,8,512,64
1024,4,4096,8,512,64
1024,8,8192,8,512,64
2048,1,2048,8,512,64
2048,4,8192,8,512,64
2048,8,16384,8,512,64
4096,1,4096,8,512,64
4096,4,16384,8,512,64
256,1,256,16,512,64
256,4,1024,16,512,64
256,8,2048,16,512,64
256,16,4096,16,512,64
256,32,8192,16,512,64
512,1,512,16,512,64
512,4,2048,16,512,64
512,8,4096,16,512,64
512,16,8192,16,512,64
1024,1,1024,16,512,64
1024,4,4096,16,512,64
1024,8,8192,16,512,64
2048,1,2048,16,512,64
2048,4,8192,16,512,64
2048,8,16384,16,512,64
4096,1,4096,16,512,64
4096,4,16384,16,512,64
256,1,256,1,1024,64
256,4,1024,1,1024,64
256,8,2048,1,1024,64
256,16,4096,1,1024,64
256,32,8192,1,1024,64
512,1,512,1,1024,64
512,4,2048,1,1024,64
512,8,4096,1,1024,64
512,16,8192,1,1024,64
1024,1,1024,1,1024,64
1024,4,4096,1,1024,64
1024,8,8192,1,1024,64
2048,1,2048,1,1024,64
2048,4,8192,1,1024,64
2048,8,16384,1,1024,64
4096,1,4096,1,1024,64
4096,4,16384,1,1024,64
256,1,256,8,1024,64
256,4,1024,8,1024,64
256,8,2048,8,1024,64
256,16,4096,8,1024,64
256,32,8192,8,1024,64
512,1,512,8,1024,64
512,4,2048,8,1024,64
512,8,4096,8,1024,64
512,16,8192,8,1024,64
1024,1,1024,8,1024,64
1024,4,4096,8,1024,64
1024,8,8192,8,1024,64
2048,1,2048,8,1024,64
2048,4,8192,8,1024,64
2048,8,16384,8,1024,64
4096,1,4096,8,1024,64
4096,4,16384,8,1024,64
256,1,256,16,1024,64
256,4,1024,16,1024,64
256,8,2048,16,1024,64
256,16,4096,16,1024,64
256,32,8192,16,1024,64
512,1,512,16,1024,64
512,4,2048,16,1024,64
512,8,4096,16,1024,64
512,16,8192,16,1024,64
1024,1,1024,16,1024,64
1024,4,4096,16,1024,64
1024,8,8192,16,1024,64
2048,1,2048,16,1024,64
2048,4,8192,16,1024,64
2048,8,16384,16,1024,64
4096,1,4096,16,1024,64
4096,4,16384,16,1024,64
